ULW,Material,Optik,Schale,Hoehe,Daemmung,Luefterrahmen_Variante,Lichtkuppel_Preis_EUR,Aufsatzkranz_Preis_EUR,Luefterrahmen_Preis_EUR,Zusatzkosten_EUR,Total_EUR
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,20 mm,manuell offenbar (Spindel),387.6,216.6,235.8,52.5,892.50
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,40 mm,keine,387.6,300.36,,,687.96
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,40 mm,festverglast (nicht zu öffnen),387.6,300.36,0,0,687.96
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,40 mm,manuell offenbar (Spindel),387.6,300.36,235.8,52.5,976.26
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,50 mm,keine,387.6,303.24,,,690.84
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,50 mm,festverglast (nicht zu öffnen),387.6,303.24,0,0,690.84
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,50 mm,manuell offenbar (Spindel),387.6,303.24,235.8,52.5,979.14
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,60 mm,keine,387.6,306.84,,,694.44
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,60 mm,festverglast (nicht zu öffnen),387.6,306.84,0,0,694.44
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,60 mm,manuell offenbar (Spindel),387.6,306.84,235.8,52.5,982.74
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,80 mm,keine,387.6,310.2,,,697.80
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,80 mm,festverglast (nicht zu öffnen),387.6,310.2,0,0,697.80
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,80 mm,manuell offenbar (Spindel),387.6,310.2,235.8,52.5,986.10
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,100 mm,keine,387.6,315.48,,,703.08
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,100 mm,festverglast (nicht zu öffnen),387.6,315.48,0,0,703.08
60,Acryl (Standard),klar (transparent),5-schalig,30 cm,100 mm,manuell offenbar (Spindel),387.6,315.48,235.8,52.5,991.38
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,20 mm,keine,387.6,318.3,,,705.90
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,20 mm,festverglast (nicht zu öffnen),387.6,318.3,0,0,705.90
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,20 mm,manuell offenbar (Spindel),387.6,318.3,235.8,52.5,994.20
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,40 mm,keine,387.6,438.78,,,826.38
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,40 mm,festverglast (nicht zu öffnen),387.6,438.78,0,0,826.38
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,40 mm,manuell offenbar (Spindel),387.6,438.78,235.8,52.5,1114.68
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,50 mm,keine,387.6,442.14,,,829.74
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,50 mm,festverglast (nicht zu öffnen),387.6,442.14,0,0,829.74
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,50 mm,manuell offenbar (Spindel),387.6,442.14,235.8,52.5,1118.04
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,60 mm,keine,387.6,445.98,,,833.58
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,60 mm,festverglast (nicht zu öffnen),387.6,445.98,0,0,833.58
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,60 mm,manuell offenbar (Spindel),387.6,445.98,235.8,52.5,1121.88
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,80 mm,keine,387.6,450.3,,,837.90
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,80 mm,festverglast (nicht zu öffnen),387.6,450.3,0,0,837.90
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,80 mm,manuell offenbar (Spindel),387.6,450.3,235.8,52.5,1126.20
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,100 mm,keine,387.6,458.94,,,846.54
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,100 mm,festverglast (nicht zu öffnen),387.6,458.94,0,0,846.54
60,Acryl (Standard),klar (transparent),5-schalig,50 cm,100 mm,manuell offenbar (Spindel),387.6,458.94,235.8,52.5,1134.84
60,Acryl (Standard),opal (Milchglas),1-schalig,15 cm,20 mm,keine,114.6,164.7,,,279.30
60,Acryl (Standard),opal (Milchglas),1-schalig,15 cm,20 mm,festverglast (nicht zu öffnen),114.6,164.7,0,0,279.30
60,Acryl (Standard),opal (Milchglas),1-schalig,15 cm,20 mm,manuell offenbar (Spindel),114.6,164.7,235.8,52.5,567.60
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,20 mm,keine,114.6,216.6,,,331.20
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,20 mm,festverglast (nicht zu öffnen),114.6,216.6,0,0,331.20
60,Acryl (Standard),opal (Milchglas),1-schalig,30 cm,20 mm,manuell offenbar (Spindel),114.6,216.6,235.8,52.5,619.50
